Palette Number,Name,R (dec),G (dec),B (dec),R (hex),G (hex),B (hex),RGB (hex),RGBA (hex),,,,
#Okabe&Ito,,,,,,,,,,,,,
0,Black,0,0,0,0,0,0,000000,000000ff,,,,
0,Orange,230,159,0,e6,9f,0,e69f00,e69f00ff,,,,
0,Sky blue,86,180,233,56,b4,e9,56b4e9,56b4e9ff,,,,
0,Bluish green,0,158,115,0,9e,73,009e73,009e73ff,,,,
0,Yellow,240,228,66,f0,e4,42,f0e442,f0e442ff,,,,
0,Blue,0,114,178,0,72,b2,0072b2,0072b2ff,,,,
0,Vermillion,213,94,0,d5,5e,0,d55e00,d55e00ff,,,,
0,Reddish purple,204,121,167,cc,79,a7,cc79a7,cc79a7ff,,,,
#tolBright,,,,,,,,,,,,,
1,Blue,68,119,170,44,77,AA,4477AA,4477AAFF,,,,
1,Red,238,102,119,EE,66,77,EE6677,EE6677FF,,,,
1,Green,34,136,51,22,88,33,228833,228833FF,,,,
1,Yellow,204,187,68,CC,BB,44,CCBB44,CCBB44FF,,,,
1,Cyan,102,204,238,66,CC,EE,66CCEE,66CCEEFF,,,,
1,Purple,170,51,119,AA,33,77,AA3377,AA3377FF,,,,
1,Grey,187,187,187,BB,BB,BB,BBBBBB,BBBBBBFF,,,,
,,,,,,,,,,,,,
#tolHighContrast,,,,,,,,,,,,,
2,blue,0,68,136,0,44,88,004488,004488FF,,,,
2,yellow,221,170,51,DD,AA,33,DDAA33,DDAA33FF,,,,
2,red,187,85,102,BB,55,66,BB5566,BB5566FF,,,,
2,black,0,0,0,0,0,0,000000,000000FF,,,,
2,white,255,255,255,FF,FF,FF,FFFFFF,FFFFFFFF,,,,
,,,,,,,,,,,,,
#tolYlOrBr,,,,,,,,,,,,,
3,FFFFE5,255,255,229,FF,FF,E5,FFFFE5,FFFFE5FF,,,,
3,FFF7BC,255,247,188,FF,F7,BC,FFF7BC,FFF7BCFF,,,,
3,FEE391,254,227,145,FE,E3,91,FEE391,FEE391FF,,,,
3,FEC44F,254,196,79,FE,C4,4F,FEC44F,FEC44FFF,,,,
3,FB9A29,251,154,41,FB,9A,29,FB9A29,FB9A29FF,,,,
3,EC7014,236,112,20,EC,70,14,EC7014,EC7014FF,,,,
3,CC4C02,204,76,2,CC,4C,2,CC4C02,CC4C02FF,,,,
3,993404,153,52,4,99,34,4,993404,993404FF,,,,
3,662506,102,37,6,66,25,6,662506,662506FF,,,,
3,888888,136,136,136,88,88,88,888888,888888FF,,,,
,,,,,,,,,,,,,
#tolPale,,,,,,,,,,,,,
4,pale blue,187,204,238,BB,CC,EE,BBCCEE,BBCCEEFF,,,,
4,pale cyan,204,238,255,CC,EE,FF,CCEEFF,CCEEFFFF,,,,
4,pale green,204,221,170,CC,DD,AA,CCDDAA,CCDDAAFF,,,,
4,pale yellow,238,238,187,EE,EE,BB,EEEEBB,EEEEBBFF,,,,
4,pale red,255,204,204,FF,CC,CC,FFCCCC,FFCCCCFF,,,,
4,pale grey,221,221,221,DD,DD,DD,DDDDDD,DDDDDDFF,,,,
,,,,,,,,,,,,,
#tolDark,,,,,,,,,,,,,
5,dark blue,34,34,85,22,22,55,222255,222255FF,,,,
5,dark cyan,34,85,85,22,55,55,225555,225555FF,,,,
5,dark green,34,85,34,22,55,22,225522,225522FF,,,,
5,dark yellow,102,102,51,66,66,33,666633,666633FF,,,,
5,dark red,102,51,51,66,33,33,663333,663333FF,,,,
5,dark grey,85,85,85,55,55,55,555555,555555FF,,,,
,,,,,,,,,,,,,
#tolLight,,,,,,,,,,,,,
6,light blue,119,170,221,77,AA,DD,77AADD,77AADDFF,,,,
6,light cyan,153,221,255,99,DD,FF,99DDFF,99DDFFFF,,,,
6,mint,68,187,153,44,BB,99,44BB99,44BB99FF,,,,
6,pear,187,204,51,BB,CC,33,BBCC33,BBCC33FF,,,,
6,olive,170,170,0,AA,AA,0,AAAA00,AAAA00FF,,,,
6,light yellow,238,221,136,EE,DD,88,EEDD88,EEDD88FF,,,,
6,orange,238,136,102,EE,88,66,EE8866,EE8866FF,,,,
6,pink,255,170,187,FF,AA,BB,FFAABB,FFAABBFF,,,,
6,pale grey,221,221,221,DD,DD,DD,DDDDDD,DDDDDDFF,,,,
,,,,,,,,,,,,,
#unlColors,,,,,,,,,,,,,
7,Scarlet,208,0,0,D0,0,0,D00000,D00000FF,,,,
7,Cream,245,241,231,F5,F1,E7,F5F1E7,F5F1E7FF,,,,
7,Gray,199,200,202,C7,C8,CA,C7C8CA,C7C8CAFF,,,,
7,Lighter Cream,254,253,250,FE,FD,FA,FEFDFA,FEFDFAFF,,,,
7,Navy,0,18,38,0,12,26,1226,001226FF,,,,
7,Cerulean,36,154,181,24,9A,B5,249AB5,249AB5FF,,,,
7,Green,188,203,42,BC,CB,2A,BCCB2A,BCCB2AFF,,,,
7,Orange,245,138,31,F5,8A,1F,F58A1F,F58A1FFF,,,,
7,Lapis,0,93,132,0,5D,84,005D84,005D84FF,,,,
7,Yellow,255,215,79,FF,D7,4F,FFD74F,FFD74FFF,,,,
7,Purple,165,34,141,A5,22,8D,A5228D,A5228DFF,,,,
,,,,,,,,,,,,,
#tolPurpleGreen,,,,,,,,,,,,,
8,762A83,118,42,131,76,2A,83,762A83,762A83FF,,,,
8,9970AB,153,112,171,99,70,AB,9970AB,9970ABFF,,,,
8,C2A5CF,194,165,207,C2,A5,CF,C2A5CF,C2A5CFFF,,,,
8,E7D4E8,231,212,232,E7,D4,E8,E7D4E8,E7D4E8FF,,,,
8,F7F7F7,247,247,247,F7,F7,F7,F7F7F7,F7F7F7FF,,,,
8,D9F0D3,217,240,211,D9,F0,D3,D9F0D3,D9F0D3FF,,,,
8,ACD39E,172,211,158,AC,D3,9E,ACD39E,ACD39EFF,,,,
8,5AAE61,90,174,97,5A,AE,61,5AAE61,5AAE61FF,,,,
8,1B7837,27,120,55,1B,78,37,1B7837,1B7837FF,,,,
8,BADDATA,255,238,153,FF,EE,99,FFEE99,FFEE99FF,,,,
,,,,,,,,,,,,,
#tolBlueRed,,,,,,,,,,,,,
9,2166AC,33,102,172,21,66,AC,2166AC,2166ACFF,,,,
9,4393C3,67,147,195,43,93,C3,4393C3,4393C3FF,,,,
9,92C5DE,146,197,222,92,C5,DE,92C5DE,92C5DEFF,,,,
9,D1E5F0,209,229,240,D1,E5,F0,D1E5F0,D1E5F0FF,,,,
9,F7F7F7,247,247,247,F7,F7,F7,F7F7F7,F7F7F7FF,,,,
9,FDDBC7,253,219,199,FD,DB,C7,FDDBC7,FDDBC7FF,,,,
9,F4A582,244,165,130,F4,A5,82,F4A582,F4A582FF,,,,
9,D6604D,214,96,77,D6,60,4D,D6604D,D6604DFF,,,,
9,B2182B,178,24,43,B2,18,2B,B2182B,B2182BFF,,,,
9,BADDATA,255,238,153,FF,EE,99,FFEE99,FFEE99FF,,,,
,,,,,,,,,,,,,
#tolSunset,,,,,,,,,,,,,
10,364B9A,54,75,154,36,4B,9A,364B9A,364B9AFF,,,,
10,4A7BB7,74,123,183,4A,7B,B7,4A7BB7,4A7BB7FF,,,,
10,6EA6CD,110,166,205,6E,A6,CD,6EA6CD,6EA6CDFF,,,,
10,98CAE1,152,202,225,98,CA,E1,98CAE1,98CAE1FF,,,,
10,C2E4EF,194,228,239,C2,E4,EF,C2E4EF,C2E4EFFF,,,,
10,EAECCC,234,236,204,EA,EC,CC,EAECCC,EAECCCFF,,,,
10,FEDA8B,254,218,139,FE,DA,8B,FEDA8B,FEDA8BFF,,,,
10,FDB366,253,179,102,FD,B3,66,FDB366,FDB366FF,,,,
10,F67E4B,246,126,75,F6,7E,4B,F67E4B,F67E4BFF,,,,
10,DD3D2D,221,61,45,DD,3D,2D,DD3D2D,DD3D2DFF,,,,
10,A50026,165,0,38,A5,0,26,A50026,A50026FF,,,,
10,BADDATA,255,255,255,FF,FF,FF,FFFFFF,FFFFFFFF,,,,
,,,,,,,,,,,,,
#martinK8,,,,,,,,,,,,,
11,black,0,0,0,0,0,0,000000,000000FF,,,,
11,honolulublue,34,113,178,22,71,B2,2271B2,2271B2FF,,,,
11,summersky,61,183,233,3D,B7,E9,3DB7E9,3DB7E9FF,,,,
11,barbiepink,247,72,165,F7,48,A5,F748A5,F748A5FF,,,,
11,oceangreen,53,155,115,35,9B,73,359B73,359B73FF,,,,
11,bamboo,213,94,0,D5,5E,0,D55E00,D55E00FF,,,,
11,gamboge,230,159,0,E6,9F,0,E69F00,E69F00FF,,,,
11,holiday,240,228,66,F0,E4,42,F0E442,F0E442FF,,,,
,,,,,,,,,,,,,
#martinK8alt,,,,,,,,,,,,,
12,black,0,0,0,0,0,0,000000,000000FF,,,,
12,barney,170,13,180,AA,0D,B4,AA0DB4,AA0DB4FF,,,,
12,lightmagenta,255,84,237,FF,54,ED,FF54ED,FF54EDFF,,,,
12,strongopal,0,177,159,0,B1,9F,00B19F,00B19FFF,,,,
12,vividrose,235,5,122,EB,5,7A,EB057A,EB057AFF,,,,
12,vividred,248,7,29,F8,7,1D,F8071D,F8071DFF,,,,
12,darkorange,255,141,26,FF,8D,1A,FF8D1A,FF8D1AFF,,,,
12,frenchlime,158,255,55,9E,FF,37,9EFF37,9EFF37FF,,,,
,,,,,,,,,,,,,
#martinK12,,,,,,,,,,,,,
13,deepmagenta,159,1,98,9F,1,62,9F0162,9F0162FF,,,,
13,paolo,0,159,129,0,9F,81,009F81,009F81FF,,,,
13,brilliantrose,255,90,175,FF,5A,AF,FF5AAF,FF5AAFFF,,,,
13,brightteal,0,252,207,0,FC,CF,00FCCF,00FCCFFF,,,,
13,frenchviolet,132,0,205,84,0,CD,8400CD,8400CDFF,,,,
13,dodgerblue,0,141,249,0,8D,F9,008DF9,008DF9FF,,,,
13,spiro,0,194,249,0,C2,F9,00C2F9,00C2F9FF,,,,
13,plum,255,178,253,FF,B2,FD,FFB2FD,FFB2FDFF,,,,
13,strongcrimson,164,1,34,A4,1,22,A40122,A40122FF,,,,
13,vividcrimson,226,1,52,E2,1,34,E20134,E20134FF,,,,
13,burningorange,255,110,58,FF,6E,3A,FF6E3A,FF6E3AFF,,,,
13,brightspark,255,195,59,FF,C3,3B,FFC33B,FFC33BFF,,,,
,,,,,,,,,,,,,
#martinK12alt,,,,,,,,,,,,,
14,genoa,0,106,94,0,6A,5E,006A5E,006A5EFF,,,,
14,deeppink,237,13,136,ED,0D,88,ED0D88,ED0D88FF,,,,
14,tealish,0,189,169,0,BD,A9,00BDA9,00BDA9FF,,,,
14,palecrimson,255,196,212,FF,C4,D4,FFC4D4,FFC4D4FF,,,,
14,ceruleanblue,0,88,204,0,58,CC,0058CC,0058CCFF,,,,
14,hotpurple,210,8,251,D2,8,FB,D208FB,D208FBFF,,,,
14,pinkflamingo,255,102,253,FF,66,FD,FF66FD,FF66FDFF,,,,
14,turquoise,0,239,249,0,EF,F9,00EFF9,00EFF9FF,,,,
14,japaneselaurel,21,109,3,15,6D,3,156D03,156D03FF,,,,
14,islamicgreen,0,151,25,0,97,19,009719,009719FF,,,,
14,permanentgreen,0,198,27,0,C6,1B,00C61B,00C61BFF,,,,
14,luminous,0,251,29,0,FB,1D,00FB1D,00FB1DFF,,,,
,,,,,,,,,,,,,
#petroff6,,,,,,,,,,,,,
15,blue,87,144,252,57,90,FC,5790FC,5790FCFF,,,,
15,orange,248,156,32,F8,9C,20,F89C20,F89C20FF,,,,
15,red,228,37,54,E4,25,36,E42536,E42536FF,,,,
15,plum,150,74,139,96,4A,8B,964A8B,964A8BFF,,,,
15,gray,156,156,161,9C,9C,A1,9C9CA1,9C9CA1FF,,,,
15,purple,122,33,221,7A,21,DD,7A21DD,7A21DDFF,,,,
,,,,,,,,,,,,,
#petroff8,,,,,,,,,,,,,
16,blue,24,69,251,18,45,FB,1845FB,1845FBFF,,,,
16,orange,255,94,2,FF,5E,02,FF5E02,FF5E02FF,,,,
16,red,201,31,22,C9,1F,16,C91F16,C91F16FF,,,,
16,purple,200,73,169,C8,49,A9,C849A9,C849A9FF,,,,
16,light gray,173,173,125,AD,AD,7D,ADAD7D,ADAD7DFF,,,,
16,sky blue,134,200,221,86,C8,DD,86C8DD,86C8DDFF,,,,
16,light blue,87,141,255,57,8D,FF,578DFF,578DFFFF,,,,
16,dark gray,101,99,100,65,63,64,656364,656364FF,,,,
,,,,,,,,,,,,,
#petroff10,,,,,,,,,,,,,
17,blue,63,144,218,3F,90,DA,3F90DA,3F90DAFF,,,,
17,orange,255,169,14,FF,A9,0E,FFA90E,FFA90EFF,,,,
17,red,189,31,1,BD,1F,01,BD1F01,BD1F01FF,,,,
17,light gray,148,164,162,94,A4,A2,94A4A2,94A4A2FF,,,,
17,purple,131,45,182,83,2D,B6,832DB6,832DB6FF,,,,
17,brown,169,107,89,A9,6B,59,A96B59,A96B59FF,,,,
17,dark orange,231,99,0,E7,63,00,E76300,E76300FF,,,,
17,tan,185,172,112,B9,AC,70,B9AC70,B9AC70FF,,,,
17,dark gray,113,117,129,71,75,81,717581,717581FF,,,,
17,light blue,146,218,221,92,DA,DD,92DADD,92DADDFF,,,,
